rating_phase1,videoID,emotionName,durationBlackScreen_phase1,rating_phase2,durationBlackScreen_phase2,average_rating,variance_rating,subject_id
6.95,0059,disgust,2600,5.64,900,6.295,0.9263098833543776,vTreiIt2JuefuP24EEhz5QRXwyq2
2.62,0120,sadness,2600,3.42,900,3.02,0.5656854249492379,vTreiIt2JuefuP24EEhz5QRXwyq2
6.14,0489,anxiety,900,5.05,2600,5.595,0.7707463914933367,vTreiIt2JuefuP24EEhz5QRXwyq2
6.39,0829,disgust,900,6.41,2600,6.4,0.014142135623731277,vTreiIt2JuefuP24EEhz5QRXwyq2
5.03,1503,joy,900,3.58,2600,4.305,1.025304832720494,vTreiIt2JuefuP24EEhz5QRXwyq2
1.46,0520,romance,2600,1.5,900,1.48,0.028284271247461926,vTreiIt2JuefuP24EEhz5QRXwyq2
5.39,1777,anxiety,900,5.83,2600,5.609999999999999,0.3111269837220812,vTreiIt2JuefuP24EEhz5QRXwyq2
6.42,1829,romance,2600,5.64,900,6.029999999999999,0.5515432893255073,vTreiIt2JuefuP24EEhz5QRXwyq2
6.51,0730,anxiety,2600,6.11,900,6.3100000000000005,0.2828427124746186,vTreiIt2JuefuP24EEhz5QRXwyq2
6.41,1054,romance,900,6.27,2600,6.34,0.09899494936611705,vTreiIt2JuefuP24EEhz5QRXwyq2
6.82,1765,disgust,2600,6.99,900,6.905,0.12020815280171303,vTreiIt2JuefuP24EEhz5QRXwyq2
6.92,0417,disgust,2600,5.25,900,6.085,1.1808683245815343,vTreiIt2JuefuP24EEhz5QRXwyq2
6.46,1752,sadness,900,6.88,2600,6.67,0.2969848480983499,vTreiIt2JuefuP24EEhz5QRXwyq2
6.59,1716,romance,900,6.92,2600,6.755,0.23334523779156074,vTreiIt2JuefuP24EEhz5QRXwyq2
6.42,1295,romance,2600,6.86,900,6.640000000000001,0.3111269837220812,vTreiIt2JuefuP24EEhz5QRXwyq2
6.72,2130,anxiety,2600,4.96,900,5.84,1.2445079348883235,vTreiIt2JuefuP24EEhz5QRXwyq2
6.46,2007,romance,900,6.12,2600,6.29,0.24041630560342606,vTreiIt2JuefuP24EEhz5QRXwyq2
6.7,1259,disgust,900,1.62,2600,4.16,3.5921024484276614,vTreiIt2JuefuP24EEhz5QRXwyq2
6.57,2119,sadness,2600,6.17,900,6.37,0.2828427124746193,vTreiIt2JuefuP24EEhz5QRXwyq2
6.38,0190,anxiety,2600,6.8,900,6.59,0.2969848480983499,vTreiIt2JuefuP24EEhz5QRXwyq2
3.1,0491,anxiety,2600,3.34,900,3.2199999999999998,0.16970562748477125,vTreiIt2JuefuP24EEhz5QRXwyq2
6.43,0277,romance,900,5.97,2600,6.199999999999999,0.3252691193458118,vTreiIt2JuefuP24EEhz5QRXwyq2
4.39,1642,anxiety,900,3.13,2600,3.76,0.8909545442950497,vTreiIt2JuefuP24EEhz5QRXwyq2
6.44,0746,sadness,900,4.76,2600,5.6,1.1879393923934003,vTreiIt2JuefuP24EEhz5QRXwyq2
6.12,0395,anxiety,900,6.81,2600,6.465,0.48790367901871745,vTreiIt2JuefuP24EEhz5QRXwyq2
2.54,2060,joy,900,2.25,2600,2.395,0.2050609665440988,vTreiIt2JuefuP24EEhz5QRXwyq2
2.08,1035,disgust,2600,1.61,900,1.8450000000000002,0.3323401871576773,vTreiIt2JuefuP24EEhz5QRXwyq2
6.25,0083,joy,900,5.1,2600,5.675,0.8131727983645299,vTreiIt2JuefuP24EEhz5QRXwyq2
4.58,1329,sadness,2600,1.75,900,3.165,2.0011121907579295,vTreiIt2JuefuP24EEhz5QRXwyq2
6.21,1916,disgust,2600,5.53,900,5.87,0.4808326112068521,vTreiIt2JuefuP24EEhz5QRXwyq2
2.44,1534,romance,2600,3.17,900,2.8049999999999997,0.5161879502661797,vTreiIt2JuefuP24EEhz5QRXwyq2
6.14,1283,anxiety,2600,6.7,900,6.42,0.39597979746446693,vTreiIt2JuefuP24EEhz5QRXwyq2
6.09,2006,disgust,2600,3.29,900,4.6899999999999995,1.979898987322333,vTreiIt2JuefuP24EEhz5QRXwyq2
4.29,0194,joy,900,2.88,2600,3.585,0.9970205614730321,vTreiIt2JuefuP24EEhz5QRXwyq2
5.1,1159,joy,2600,5.1,900,5.1,0.0,vTreiIt2JuefuP24EEhz5QRXwyq2
6.43,1622,romance,900,5.75,2600,6.09,0.4808326112068521,vTreiIt2JuefuP24EEhz5QRXwyq2
5.57,1623,sadness,2600,6.56,900,6.0649999999999995,0.7000357133746815,vTreiIt2JuefuP24EEhz5QRXwyq2
6.88,0969,anxiety,2600,5.29,900,6.085,1.1242997820866105,vTreiIt2JuefuP24EEhz5QRXwyq2
6.05,0779,romance,2600,5.46,900,5.755,0.41719300090006295,vTreiIt2JuefuP24EEhz5QRXwyq2
2.78,1960,disgust,2600,2.96,900,2.87,0.1272792206135787,vTreiIt2JuefuP24EEhz5QRXwyq2
6.87,0982,joy,2600,5.1,900,5.984999999999999,1.2515790027001894,vTreiIt2JuefuP24EEhz5QRXwyq2
6.94,1932,joy,900,5.43,2600,6.1850000000000005,1.0677312395916874,vTreiIt2JuefuP24EEhz5QRXwyq2
6.77,1485,sadness,900,6.16,2600,6.465,0.43133513652379357,vTreiIt2JuefuP24EEhz5QRXwyq2
